x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
1920.462,2883.923,1800.687,2950.591,2071.710,3005.636,1663.962,2262.009,2135.649,2712.931,2008.176,2729.732,1688.414,2316.549,1677.158,2826.725,1546.753,2203.207,1793.787,2735.234
1924.061,2867.841,1805.508,2948.528,2070.904,3001.915,1658.800,2253.209,2134.862,2701.173,2006.038,2715.054,1692.869,2309.967,1684.149,2819.814,1559.031,2186.267,1806.157,2726.540
1927.419,2844.501,1809.936,2946.462,2069.929,2997.868,1653.637,2244.410,2134.151,2690.896,2003.445,2699.571,1697.324,2303.385,1690.132,2813.918,1570.389,2172.804,1818.900,2717.296
1931.761,2823.191,1814.189,2944.210,2069.036,2994.251,1647.620,2234.432,2133.304,2678.765,2001.171,2687.605,1700.853,2298.823,1696.107,2807.802,1580.563,2162.424,1827.850,2710.204
1934.591,2802.266,1821.094,2942.538,2068.192,2990.926,1642.637,2226.041,2132.435,2670.692,1999.045,2675.634,1703.744,2294.589,1701.243,2802.423,1590.978,2152.495,1834.912,2704.266
1937.547,2784.647,1837.104,2943.519,2067.001,2988.161,1638.993,2219.168,2132.122,2662.675,1996.898,2665.412,1706.990,2290.369,1706.003,2797.643,1601.128,2143.537,1841.608,2698.302
1939.874,2768.837,1853.249,2942.757,2065.942,2985.531,1635.078,2212.093,2131.225,2655.067,1995.070,2655.950,1709.326,2286.809,1711.527,2790.121,1608.140,2137.262,1847.084,2692.848
1941.617,2755.241,1868.103,2941.960,2064.952,2982.446,1631.209,2205.217,2131.243,2646.750,1993.177,2647.260,1712.106,2282.779,1714.548,2774.166,1618.067,2130.479,1852.556,2687.760
1943.127,2743.385,1879.131,2941.562,2063.842,2979.427,1628.630,2196.853,2134.339,2632.335,1993.958,2631.315,1714.811,2278.732,1719.296,2750.220,1642.563,2119.272,1855.804,2684.173
1944.306,2732.941,1890.576,2941.004,2062.778,2976.882,1629.678,2185.720,2136.344,2609.775,1993.793,2604.290,1717.076,2275.157,1722.906,2727.445,1667.426,2104.762,1860.664,2678.959
1945.035,2723.672,1897.726,2940.639,2061.598,2974.480,1632.678,2171.573,2140.381,2586.956,1994.691,2576.494,1719.057,2272.421,1724.259,2708.686,1687.327,2095.447,1863.936,2675.208
1945.800,2714.346,1906.098,2939.549,2059.652,2971.214,1635.528,2161.443,2144.083,2563.622,1995.630,2547.128,1720.962,2269.317,1725.664,2691.376,1706.493,2087.897,1867.895,2670.891
1946.141,2706.526,1911.389,2938.823,2059.580,2954.191,1637.841,2153.108,2148.395,2543.015,1998.636,2519.357,1722.490,2266.697,1726.499,2678.592,1722.706,2081.835,1870.167,2667.933
1946.184,2699.166,1918.375,2938.016,2061.439,2937.417,1640.241,2145.456,2152.392,2526.789,2000.240,2489.442,1724.667,2263.234,1727.906,2664.752,1737.340,2076.679,1873.348,2664.020
1946.699,2692.258,1923.131,2937.686,2062.941,2921.343,1642.271,2139.234,2156.084,2512.581,2003.776,2464.206,1726.452,2260.414,1728.579,2655.015,1749.739,2072.026,1876.194,2660.446
1947.508,2684.654,1928.061,2936.714,2063.634,2910.291,1644.533,2132.192,2159.646,2499.517,2005.942,2443.768,1727.763,2258.486,1729.357,2644.955,1761.481,2068.037,1877.974,2657.800
1951.513,2672.795,1931.911,2935.992,2064.567,2898.944,1646.494,2125.849,2162.841,2487.533,2007.933,2425.670,1729.587,2255.321,1730.114,2633.632,1771.953,2064.522,1880.175,2651.478
1956.833,2654.897,1936.781,2935.425,2065.434,2888.756,1648.114,2114.276,2165.649,2476.585,2009.627,2408.641,1731.103,2252.915,1728.422,2622.888,1789.981,2065.941,1877.844,2631.117
1962.111,2635.736,1940.933,2934.722,2065.867,2880.796,1651.193,2098.428,2168.182,2466.891,2011.212,2393.532,1733.063,2249.764,1722.297,2600.050,1821.281,2077.427,1874.761,2604.001
1968.536,2617.147,1943.836,2934.153,2066.267,2872.992,1655.178,2081.235,2170.655,2457.681,2012.733,2380.608,1737.920,2245.654,1718.907,2575.205,1845.065,2091.168,1871.682,2578.236
1972.560,2602.643,1947.346,2933.794,2066.727,2865.566,1658.356,2065.170,2172.721,2449.617,2013.589,2368.610,1745.384,2251.077,1714.081,2553.103,1866.012,2106.008,1869.511,2549.507
1976.135,2588.769,1949.954,2933.426,2067.004,2859.505,1662.512,2050.301,2174.759,2441.819,2014.497,2356.383,1761.876,2272.508,1710.398,2533.789,1882.846,2117.745,1866.413,2524.511
1979.337,2576.769,1952.761,2932.761,2067.180,2853.330,1666.524,2037.791,2176.865,2434.249,2013.146,2335.843,1777.709,2298.033,1707.872,2519.084,1897.827,2127.916,1864.162,2500.815
1982.285,2565.723,1956.318,2932.355,2065.695,2842.192,1670.416,2026.820,2178.630,2428.028,2014.862,2307.306,1788.112,2327.271,1705.399,2504.585,1910.278,2136.833,1861.460,2481.793
1984.821,2556.546,1957.670,2931.771,2064.852,2817.264,1673.990,2017.895,2180.771,2421.167,2013.588,2275.970,1796.725,2350.282,1703.141,2492.283,1921.677,2144.783,1858.991,2464.629
1987.135,2547.307,1960.944,2931.521,2065.683,2794.678,1677.605,2009.239,2182.306,2415.532,2015.164,2245.892,1802.624,2372.549,1701.073,2482.192,1931.202,2151.754,1857.504,2450.275
1989.783,2538.845,1962.621,2930.457,2066.075,2773.427,1681.076,2000.889,2183.873,2410.385,2016.294,2217.730,1808.018,2392.552,1698.996,2471.459,1941.528,2159.098,1856.182,2436.237
1998.143,2524.364,1966.368,2928.595,2066.774,2756.508,1684.708,1993.023,2187.928,2402.641,2019.456,2195.207,1812.910,2409.133,1697.293,2461.852,1949.154,2164.347,1855.485,2424.146
2008.978,2503.847,1966.010,2918.015,2067.036,2743.231,1693.854,1988.025,2199.348,2388.382,2023.372,2175.070,1817.323,2423.296,1695.710,2454.184,1957.453,2170.345,1854.632,2413.092
2020.229,2484.993,1960.830,2898.465,2067.672,2729.336,1719.982,1989.336,2210.254,2371.735,2027.023,2158.902,1821.701,2436.659,1694.517,2446.939,1966.070,2176.079,1853.955,2403.856
2031.798,2466.798,1955.171,2880.681,2067.688,2717.873,1746.028,1993.299,2221.082,2358.219,2031.040,2143.914,1825.221,2448.221,1693.333,2440.388,1972.281,2179.881,1852.986,2393.000
2040.617,2451.769,1946.906,2864.097,2068.011,2706.426,1774.733,2001.813,2230.626,2346.279,2034.746,2129.782,1830.945,2469.905,1692.175,2433.655,1980.062,2184.943,1852.725,2386.097
2048.380,2438.429,1939.375,2848.788,2067.805,2697.726,1802.917,2009.454,2239.938,2334.516,2038.193,2117.730,1839.140,2492.333,1691.304,2428.074,1985.012,2187.507,1852.191,2376.827
2055.134,2426.911,1932.406,2835.994,2068.075,2688.260,1829.985,2017.032,2247.836,2324.303,2041.447,2107.201,1846.228,2514.893,1690.352,2422.739,1990.626,2189.983,1852.328,2370.121
2061.613,2415.806,1924.470,2822.872,2064.505,2671.994,1857.165,2024.653,2255.523,2315.029,2044.331,2097.674,1853.513,2532.795,1689.104,2417.192,2003.504,2190.829,1852.457,2363.683
2066.733,2406.611,1919.501,2813.664,2060.716,2644.551,1881.552,2031.524,2261.657,2307.546,2047.521,2088.068,1860.643,2549.522,1684.693,2412.835,2026.334,2188.969,1852.347,2356.719
2072.187,2397.071,1913.978,2804.693,2057.046,2620.166,1902.110,2035.552,2268.038,2299.930,2050.522,2078.895,1867.101,2564.378,1671.109,2404.597,2046.305,2187.366,1852.390,2349.029
2080.276,2386.295,1909.406,2796.602,2053.021,2599.764,1920.077,2038.232,2273.547,2293.348,2053.397,2070.885,1872.289,2575.941,1654.561,2395.907,2062.816,2184.605,1852.977,2345.163
