x1,y1,x2,y2
370.662,671.910,440.455,770.354
371.293,676.949,444.614,784.484
371.642,681.274,446.939,792.366
371.293,683.793,448.618,797.075
371.130,686.685,450.130,801.730
371.180,690.394,451.332,805.297
371.007,693.557,452.805,809.856
383.430,696.298,453.645,811.694
400.490,700.711,454.808,815.156
411.775,703.882,455.217,815.981
417.249,705.331,456.046,818.041
423.612,707.090,456.354,818.660
428.449,708.317,457.586,822.529
433.564,709.634,458.192,824.004
437.173,710.660,464.647,827.356
439.353,711.267,478.341,825.920
441.391,712.046,488.406,825.915
444.848,713.494,494.374,825.552
447.208,714.470,504.103,824.917
449.739,715.329,509.508,824.634
450.820,716.150,513.969,824.173
451.614,716.607,516.250,824.018
452.918,717.335,519.813,823.514
454.355,718.044,522.122,823.331
456.822,719.173,525.650,822.809
465.001,717.172,528.601,822.613
476.982,713.196,532.545,821.274
483.178,710.977,542.390,820.002
487.842,709.603,547.800,819.448
492.766,708.055,554.321,818.323
496.623,707.058,564.750,815.726
499.012,706.283,572.521,814.044
503.350,699.950,578.319,812.891
508.274,693.677,582.554,811.874
511.340,690.313,587.703,808.347
514.701,686.356,600.390,794.845
517.868,682.779,613.199,783.363
520.147,679.995,621.581,775.363
521.476,678.752,628.109,768.758
522.494,677.324,632.528,764.451
525.555,671.422,636.727,760.160
533.696,657.319,640.846,755.351
538.982,648.623,644.933,751.097
543.143,641.769,647.907,747.878
545.782,637.422,650.875,744.388
548.440,633.119,654.073,740.477
550.752,629.049,655.319,739.126
552.769,625.875,657.565,736.636
554.764,622.324,659.343,734.408
556.737,619.131,661.953,731.158
558.361,616.458,663.241,729.567
559.081,614.058,664.508,727.986
560.486,611.120,668.871,724.094
561.746,607.857,679.076,711.924
565.065,602.068,686.769,701.682
576.727,593.335,692.894,693.339
585.593,586.049,696.946,687.675
592.610,580.766,699.952,683.363
597.329,577.000,703.650,678.031
602.068,573.459,705.951,674.582
605.727,570.803,709.080,669.876
609.527,567.905,711.161,666.699
612.784,565.388,713.234,663.330
615.624,563.565,714.843,660.719
616.531,562.307,716.094,658.760
617.290,564.546,718.254,655.330
628.240,577.206,720.897,652.553
634.084,585.180,746.225,651.680
638.777,592.063,765.532,651.368
640.361,594.486,775.556,651.584
642.294,597.187,785.239,651.675
645.319,601.309,794.083,652.441
647.476,604.428,801.451,652.423
648.534,606.015,809.543,652.721
650.566,609.177,815.113,653.116
655.090,620.333,818.926,653.433
661.565,631.586,822.983,653.610
665.906,639.593,829.188,653.768
669.947,646.982,833.410,659.994
673.059,652.794,836.601,674.051
675.756,657.651,837.890,683.760
677.372,660.568,838.555,689.615
679.028,663.703,839.218,695.066
680.991,667.357,839.939,699.566
683.040,670.975,840.573,704.153
685.150,674.784,841.329,708.381
686.441,677.135,841.665,711.201
685.674,676.257,842.119,713.860
692.092,691.633,842.503,716.457
704.278,704.547,842.571,717.977
714.453,713.116,843.147,721.240
720.135,717.903,842.902,725.321
726.216,722.460,842.920,731.747
729.172,724.568,843.171,735.179
732.365,727.038,843.224,740.619
735.820,729.228,843.333,748.185
738.722,731.191,846.844,758.680
741.985,733.242,849.997,768.515
745.223,735.503,851.829,774.405
747.156,736.884,853.298,779.141
748.776,737.677,854.814,783.691
751.503,739.460,855.945,787.168
752.692,740.169,856.961,790.462
755.061,741.569,858.508,795.320
758.149,743.816,862.581,800.880
757.796,743.235,876.140,806.529
759.243,744.314,886.663,812.392
760.315,745.230,896.731,817.696
761.310,746.774,902.052,820.256
762.202,748.586,909.484,823.625
762.114,749.607,914.768,826.424
764.000,751.653,918.569,828.079
770.825,757.967,911.964,822.052
773.752,761.128,909.478,801.279
