x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
718.401,410.282,439.905,199.466,602.978,500.314,529.605,760.782,414.703,502.875
718.507,408.090,437.071,200.697,604.349,495.370,533.010,764.271,418.530,494.788
717.951,407.950,434.909,201.722,605.221,492.288,534.590,765.498,421.897,489.535
717.698,407.183,432.313,203.142,606.299,487.488,537.098,767.702,426.304,482.423
717.441,405.890,429.502,204.240,606.773,483.503,538.508,769.269,430.452,475.985
716.940,403.143,427.648,204.768,608.032,479.371,539.281,769.907,433.468,471.762
716.867,402.719,423.927,206.101,609.134,473.730,541.852,772.478,438.163,465.378
716.077,401.422,421.778,207.008,609.584,470.921,541.567,772.084,441.539,460.473
715.714,399.112,418.167,208.396,610.998,464.556,544.019,775.071,446.295,453.566
715.347,399.785,415.041,208.337,612.379,460.523,543.917,775.140,448.824,450.272
714.378,396.272,411.020,208.330,612.728,456.588,545.801,777.518,453.809,443.332
712.686,395.357,407.585,208.280,613.730,452.042,545.294,776.901,456.659,438.283
710.141,390.952,403.319,208.237,614.701,447.119,546.654,778.161,460.119,432.736
707.407,387.337,399.064,207.483,615.406,443.050,547.308,778.702,463.083,427.347
704.352,384.997,396.866,207.365,616.164,438.654,547.493,778.612,464.879,421.453
701.076,381.843,392.174,206.625,617.019,434.558,548.742,779.241,466.027,413.830
700.364,381.622,388.514,206.388,617.180,433.290,548.800,778.963,466.519,408.379
696.262,378.616,385.099,205.646,618.032,428.675,552.439,780.976,467.023,400.985
695.324,378.406,382.091,204.908,618.836,425.050,551.583,780.533,466.731,395.709
691.418,376.054,378.214,203.773,618.907,422.681,555.001,782.646,466.659,388.295
688.824,374.779,375.501,202.992,619.918,419.641,555.928,782.053,466.191,384.565
686.493,373.706,372.459,202.278,620.338,416.528,561.013,780.889,464.491,377.693
682.922,372.385,369.916,201.333,620.964,413.966,564.421,777.881,461.492,371.336
682.268,371.874,366.200,199.697,621.455,411.042,567.514,774.842,458.310,364.995
678.487,370.319,363.267,198.335,622.023,408.029,571.508,771.320,454.154,358.082
677.271,369.954,361.553,197.725,622.031,405.552,572.969,769.920,451.231,354.309
673.097,368.467,357.962,196.264,621.673,400.657,576.754,765.479,446.568,347.938
672.347,368.119,355.395,195.114,621.473,399.096,578.045,763.636,443.779,344.179
668.658,367.045,352.293,193.341,620.772,394.272,581.495,758.554,439.530,338.779
667.793,366.843,349.108,192.157,620.016,391.054,583.375,756.179,436.043,334.591
665.347,366.136,344.450,190.693,618.878,386.937,586.656,751.636,431.945,329.185
664.131,365.648,340.676,188.856,617.898,383.945,588.970,746.896,427.839,323.936
662.101,365.015,336.390,186.774,617.314,381.931,591.160,742.880,424.079,319.740
659.340,364.361,332.167,185.370,616.060,378.935,594.521,736.619,418.975,313.703
658.386,364.316,328.067,183.838,615.343,376.989,596.018,734.310,415.584,309.460
656.783,364.192,323.336,181.569,614.438,374.570,599.483,727.604,409.218,303.128
655.961,364.402,319.529,179.468,613.622,372.891,600.513,725.058,406.617,299.959
653.110,364.490,314.688,177.355,612.931,371.581,603.223,718.755,401.550,294.231
651.100,364.926,310.879,175.589,612.752,370.506,604.831,715.995,397.267,290.576
648.669,365.031,307.021,172.101,613.607,371.456,608.090,709.885,391.611,285.615
646.411,365.358,306.202,167.779,613.441,371.330,609.625,706.799,387.200,281.676
645.398,365.396,306.214,162.292,613.440,371.539,611.200,703.168,383.014,278.026
642.102,365.721,306.666,156.034,612.434,371.605,613.675,698.168,377.098,273.691
639.699,366.475,306.741,151.962,612.436,371.871,614.625,696.238,373.987,271.364
637.873,366.495,308.322,145.991,609.516,370.173,618.088,690.718,368.992,267.330
637.773,366.783,309.303,141.995,606.752,368.206,618.281,690.225,365.810,264.854
635.917,366.981,310.488,135.856,603.831,364.728,621.782,684.344,360.417,260.640
632.088,368.101,311.414,131.116,600.837,357.872,622.292,683.160,358.093,258.850
630.204,368.461,313.075,125.586,597.772,350.442,625.143,678.536,354.869,255.507
629.039,368.672,313.527,121.981,595.731,345.390,626.290,676.225,351.811,251.594
628.007,368.815,313.870,119.244,593.784,339.016,626.948,675.054,348.749,247.685
626.335,369.345,313.001,116.316,591.629,332.757,630.240,670.058,345.313,242.599
626.130,369.392,311.611,114.348,590.037,327.694,631.011,668.900,343.731,239.464
622.332,370.839,310.530,112.141,588.500,320.554,633.531,664.033,341.397,232.671
621.746,370.833,309.574,110.333,586.358,313.893,633.819,663.077,339.965,229.585
619.435,371.660,308.678,108.833,584.317,307.185,636.821,657.337,338.198,223.533
618.551,372.018,307.497,107.766,583.181,302.997,637.398,656.484,336.784,217.694
617.239,372.692,306.110,106.769,580.918,296.444,639.873,651.942,335.176,210.718
615.759,373.736,305.019,105.888,578.511,290.982,641.162,649.711,333.925,206.279
615.169,374.106,304.259,105.400,576.258,286.996,642.541,647.727,332.894,200.143
613.381,375.065,302.613,103.341,573.167,282.246,645.483,643.016,331.465,192.998
613.304,375.122,301.540,102.226,570.947,279.585,645.019,643.161,330.095,188.115
610.967,376.381,300.333,100.524,567.481,275.317,648.005,637.945,328.505,180.230
610.855,376.688,299.916,99.985,565.027,272.655,648.203,637.627,327.780,176.636
608.917,377.974,299.267,99.127,560.963,269.057,650.522,633.652,325.953,169.344
609.045,378.387,299.072,98.657,559.232,267.498,650.987,632.543,324.857,165.525
607.898,379.214,299.402,99.013,555.821,264.675,653.081,629.289,323.384,159.372
606.261,380.178,298.969,97.399,553.292,262.602,654.016,627.192,322.252,154.854
605.872,380.609,298.419,95.854,550.134,260.187,654.731,625.699,321.261,149.830
604.396,381.602,298.006,94.842,547.006,257.919,656.909,621.803,320.139,144.849
603.346,382.660,297.672,93.816,544.493,256.014,656.283,622.561,319.708,141.388
602.442,383.380,297.504,92.073,541.137,253.839,659.075,617.884,318.738,136.467
603.042,383.388,297.447,90.365,537.981,252.693,658.922,618.163,318.886,134.413
601.379,384.495,297.325,88.807,532.721,250.972,661.110,614.430,318.556,128.138
601.482,384.817,297.041,87.228,528.619,249.333,661.441,613.740,318.438,124.779
600.228,386.249,297.291,85.791,524.941,248.240,662.962,611.031,318.254,120.558
599.226,387.221,298.092,83.937,519.963,247.015,664.096,609.100,317.766,116.042
598.882,387.495,299.069,81.763,515.876,246.326,665.021,607.333,318.071,113.004
596.939,389.250,299.793,79.333,511.559,245.306,666.074,605.328,318.080,108.683
597.196,389.013,300.396,76.091,509.040,244.495,666.319,604.815,318.251,106.283
595.839,390.498,301.475,72.722,504.006,243.512,668.043,602.007,318.743,100.969
595.669,390.717,302.408,70.317,501.802,243.206,668.162,601.719,319.190,100.619
594.265,392.063,303.957,66.651,495.739,241.997,669.829,598.836,320.061,96.669
594.022,392.377,304.640,64.418,492.870,241.259,669.797,599.119,320.382,96.630
592.788,393.706,305.888,60.858,488.504,240.826,670.923,597.112,321.437,93.477
592.294,394.113,306.613,58.250,486.639,240.709,670.935,596.709,322.618,92.707
591.753,394.555,307.906,55.554,481.641,239.847,670.611,597.059,323.685,92.136
590.897,395.534,308.955,52.121,477.698,239.498,672.353,594.544,325.948,89.937
590.519,395.497,309.185,50.158,475.551,239.322,670.468,597.436,326.366,89.555
589.215,396.563,309.829,46.973,471.308,239.672,672.650,593.967,329.908,86.299
589.277,396.415,310.153,45.411,468.081,239.512,671.853,594.841,329.534,86.760
588.002,397.517,310.750,42.541,463.505,239.294,673.668,592.441,332.530,83.852
587.231,398.101,311.237,40.108,460.428,239.114,672.715,593.268,332.623,83.743
586.571,398.703,311.362,37.678,456.130,239.399,673.291,592.083,335.027,81.419
586.037,399.189,310.818,34.943,452.123,239.588,673.747,591.351,335.878,80.832
586.380,398.789,310.292,34.268,449.015,239.278,673.688,591.346,336.983,79.752
585.131,400.063,309.030,30.506,444.370,239.054,674.098,590.583,338.848,77.937
584.968,399.966,308.350,28.568,440.131,239.416,673.269,591.810,338.545,78.386
583.009,401.459,306.845,26.468,434.461,239.590,674.545,589.659,341.517,75.697
583.813,400.567,306.947,28.602,432.141,239.568,673.278,591.058,340.999,76.313
582.970,401.437,303.866,27.794,427.092,240.931,674.896,588.635,343.333,73.958
582.328,401.821,302.370,28.045,423.918,242.251,674.626,588.690,343.894,73.598
581.788,402.055,299.885,27.992,419.476,244.351,675.310,587.777,344.732,72.795
581.508,402.278,297.167,27.216,415.743,245.986,674.880,587.724,346.065,71.641
581.500,401.896,294.060,26.297,411.848,247.763,675.225,587.176,346.304,71.518
580.002,403.200,291.754,25.688,408.296,249.531,676.165,585.871,348.311,69.449
580.029,403.398,290.068,25.423,407.049,249.738,675.031,587.026,347.668,70.015
578.361,405.157,287.401,24.721,404.732,250.218,676.684,584.764,350.353,67.544
578.939,404.672,285.425,24.335,403.980,250.595,675.529,586.033,349.312,68.535
577.431,405.607,283.536,23.903,402.102,251.193,677.367,583.297,351.581,66.213
577.708,405.173,281.732,23.246,401.885,250.915,676.774,584.233,350.897,66.909
576.177,406.556,279.721,22.696,400.119,251.546,678.065,582.035,352.072,64.832
574.466,407.891,277.589,22.493,398.764,251.843,678.021,581.793,351.229,61.889
575.049,407.472,275.999,22.656,397.873,252.045,677.670,581.949,349.225,61.730
573.600,408.756,273.465,22.483,396.399,252.705,678.993,580.115,346.616,58.492
574.643,407.885,273.099,23.426,396.093,252.527,678.549,580.469,344.862,57.404
572.335,409.903,270.292,23.167,394.723,253.080,680.324,578.375,341.789,54.136
572.206,409.659,269.071,23.321,394.519,253.067,679.608,579.049,341.036,53.839
570.748,410.686,267.083,23.059,392.672,253.996,681.994,575.455,337.689,50.579
570.608,410.805,264.752,22.850,393.549,253.746,681.731,575.140,336.872,50.215
569.994,410.937,261.282,22.605,392.341,254.305,683.338,572.506,334.741,48.467
569.248,411.375,258.825,22.217,392.789,254.374,684.225,571.210,332.722,47.366
569.134,411.225,256.173,21.920,392.959,254.257,684.967,570.226,331.934,47.013
567.774,412.201,252.581,21.803,391.698,255.383,686.266,567.773,329.028,45.338
568.603,411.648,248.716,22.495,392.192,255.170,685.963,567.417,327.982,44.817
566.426,413.302,244.077,22.814,391.552,255.812,687.940,563.450,325.609,43.253
567.188,412.507,240.675,22.986,391.924,255.478,687.961,563.077,324.772,42.739
565.406,413.533,236.528,22.919,391.308,256.073,689.886,559.606,322.311,41.741
565.519,413.407,232.817,22.847,391.919,256.509,690.733,558.217,321.551,42.623
564.169,414.435,228.860,23.091,391.279,257.811,692.033,555.959,316.083,42.667
563.286,415.162,224.716,22.782,391.904,257.409,692.751,554.398,312.393,42.831
562.559,415.962,220.799,22.219,391.498,258.179,693.616,553.134,308.925,42.767
560.986,416.864,217.413,21.964,390.470,259.810,694.669,551.125,305.548,43.393
562.177,416.315,214.242,21.523,390.893,259.529,695.229,550.030,304.739,43.372
560.355,417.423,210.870,21.483,389.829,261.356,696.517,548.141,298.323,44.424
559.760,417.631,207.941,22.054,389.795,261.550,696.599,547.695,297.492,44.528
558.406,418.524,204.279,23.095,388.978,262.675,698.022,545.349,292.969,44.840
559.312,417.763,200.136,25.282,388.377,263.631,698.621,544.062,292.162,45.281
557.925,418.940,194.932,27.817,388.259,264.136,699.212,542.708,285.889,46.184
557.810,419.207,190.208,29.639,388.267,264.066,700.530,540.738,284.362,46.407
556.784,419.953,185.941,31.734,387.806,264.756,701.130,539.549,282.177,46.961
556.049,420.085,181.612,34.066,387.122,266.059,702.160,538.080,277.278,48.147
555.721,420.024,177.842,35.875,387.519,266.729,702.628,536.771,276.797,48.125
554.729,420.537,173.773,37.804,386.918,268.976,704.156,534.043,271.790,49.003
554.980,420.263,170.161,39.229,386.756,269.735,704.011,533.695,270.234,49.528
553.708,421.049,166.367,41.542,386.280,271.264,705.978,530.255,266.475,50.353
553.661,421.162,162.351,43.429,386.324,271.496,706.503,529.261,265.306,50.782
552.630,421.726,157.443,45.131,385.376,273.149,707.612,527.495,260.389,52.002
550.978,422.602,153.066,46.748,384.567,275.287,708.467,525.640,258.014,52.442
551.686,422.298,148.146,48.751,383.761,277.003,709.383,523.774,256.548,52.909
549.636,423.245,142.622,49.819,382.105,279.646,709.971,521.351,252.340,54.743
549.721,422.970,138.044,50.095,381.160,281.234,707.376,518.033,250.455,55.190
548.234,423.879,133.084,50.938,379.078,285.627,703.978,514.339,245.094,56.371
548.858,423.228,128.187,51.621,377.929,287.693,701.813,511.801,244.597,56.574
546.841,424.447,123.138,51.565,375.243,291.438,697.218,506.889,237.892,58.942
547.429,424.287,118.396,51.166,373.710,294.369,696.062,505.133,235.219,59.967
545.943,425.084,114.428,51.530,371.456,297.935,694.532,503.078,230.181,61.240
545.302,425.470,109.853,51.442,369.248,300.959,692.500,500.653,224.692,62.821
544.470,425.826,105.692,51.462,367.057,304.062,691.028,498.665,220.778,64.158
544.182,425.687,101.822,51.547,364.427,308.513,688.658,496.139,215.680,66.735
544.049,425.651,98.378,51.137,362.959,310.690,687.977,495.644,212.747,68.322
542.245,426.712,95.438,51.651,359.362,315.163,684.171,491.614,207.351,70.964
