x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
224.934,340.105,669.799,141.239,415.228,279.839,943.461,268.566,448.294,259.269,540.418,158.242,325.198,125.234
223.669,340.022,673.728,141.311,416.418,280.342,931.870,295.356,449.231,260.409,532.986,151.878,327.403,126.688
220.871,339.486,676.949,141.032,419.595,281.666,923.066,317.345,450.165,261.443,525.498,145.786,328.659,127.345
222.787,339.957,677.827,140.696,415.516,280.083,916.744,334.804,448.829,261.686,520.588,141.433,328.702,127.903
221.301,339.660,680.203,140.620,416.150,280.417,911.021,352.858,448.242,262.087,513.986,136.034,329.984,128.905
218.963,339.339,687.767,144.113,418.744,281.488,906.516,369.550,450.747,263.705,508.423,131.568,331.568,129.975
220.702,339.610,693.262,147.359,415.215,280.041,895.308,378.096,448.158,263.265,504.046,127.986,331.532,130.512
219.644,339.552,701.032,151.486,417.143,280.931,875.605,358.748,448.660,263.960,499.606,124.433,332.540,131.338
218.063,339.197,707.408,155.148,418.737,281.466,850.631,326.181,450.530,265.268,495.305,121.104,333.848,132.461
219.643,339.641,710.691,157.490,415.050,279.867,846.007,273.535,447.314,264.412,492.166,118.644,333.067,132.588
218.176,339.466,715.973,161.042,416.379,280.509,834.648,222.513,447.975,265.193,488.431,115.797,333.728,133.277
217.918,339.417,720.078,164.135,418.082,281.257,819.940,182.094,449.980,266.517,484.567,113.011,335.024,134.526
218.502,339.688,721.509,166.099,414.763,279.676,807.857,151.490,447.171,265.905,482.264,111.089,334.654,134.899
217.495,339.429,725.746,169.402,416.713,280.551,786.596,129.005,448.426,266.867,478.234,108.139,335.762,135.911
216.720,339.457,728.583,171.930,416.328,280.436,759.575,117.091,449.952,267.802,474.543,105.290,336.319,136.764
217.889,339.642,729.958,173.483,414.843,279.746,742.182,107.412,448.026,267.730,472.803,103.889,335.441,137.030
217.017,339.545,733.297,175.966,415.576,279.929,729.004,98.406,449.856,268.951,470.116,101.698,336.059,137.793
215.887,339.208,735.881,177.837,416.751,280.121,725.674,88.940,450.833,269.838,467.701,99.783,336.645,138.719
217.810,339.981,736.859,179.044,414.604,279.486,730.300,80.923,448.890,269.569,466.650,98.884,336.376,139.046
216.015,339.485,739.283,180.628,415.074,279.435,738.054,73.186,449.164,270.267,465.082,97.183,336.824,139.803
215.025,339.248,742.593,182.569,415.709,279.673,745.182,66.617,450.062,271.098,462.327,95.061,337.527,140.664
216.582,339.728,742.600,183.085,414.375,279.162,752.189,63.738,448.706,271.116,460.680,93.700,337.139,141.074
215.141,339.306,745.514,184.490,416.029,279.830,766.103,67.502,449.081,271.738,459.069,92.274,337.864,141.893
214.359,339.248,747.068,185.435,416.439,279.972,786.381,75.102,450.062,272.630,457.289,90.206,338.386,142.591
216.020,339.729,747.143,185.862,414.359,278.955,802.218,78.910,448.893,272.674,455.653,86.606,338.001,143.077
214.610,339.321,749.951,186.877,416.094,279.761,815.508,81.570,449.701,273.447,459.479,82.216,342.978,145.881
213.926,339.174,751.021,187.643,417.214,280.252,824.225,77.068,450.008,274.111,468.916,80.101,342.678,146.549
215.235,339.682,752.289,188.397,414.447,278.948,825.305,70.881,448.875,274.181,478.375,80.234,338.885,145.310
214.106,339.321,754.274,189.232,415.444,279.360,825.523,64.068,450.462,275.141,489.766,80.196,339.762,146.166
213.174,339.292,755.806,189.832,416.388,279.890,824.962,56.885,449.952,275.330,499.947,79.694,338.838,146.500
214.958,339.940,760.100,187.322,413.816,278.666,824.026,55.067,448.870,275.328,506.121,79.040,338.348,146.845
213.720,339.524,761.308,176.889,415.366,279.467,811.887,56.131,449.921,276.154,514.775,77.665,339.092,147.810
213.726,339.632,758.126,167.218,416.066,279.824,793.927,68.637,450.102,276.493,521.884,76.331,338.862,148.294
214.484,339.954,754.388,156.029,414.396,279.147,769.281,80.909,449.209,276.653,528.368,74.922,338.027,148.646
212.147,339.161,751.473,147.468,416.214,279.973,746.324,88.781,450.199,277.351,535.000,73.659,338.482,149.520
212.419,339.453,749.277,138.177,416.082,279.892,718.408,89.485,450.316,277.551,541.486,72.175,338.422,150.103
214.411,340.078,747.541,132.998,414.450,279.281,688.762,87.766,450.162,277.864,546.579,70.463,338.025,150.613
212.608,339.575,745.404,126.960,415.977,280.155,664.624,86.513,451.302,278.616,553.688,68.195,337.773,151.015
212.026,339.536,743.302,121.659,416.320,280.408,649.652,80.377,450.285,278.527,560.163,66.454,337.745,151.412
214.059,340.222,742.393,118.851,414.667,279.623,643.053,71.046,449.896,278.606,566.536,64.953,338.088,152.000
212.744,339.830,740.338,112.046,415.970,280.366,639.528,60.347,450.697,279.125,572.641,63.759,338.259,152.666
212.361,339.829,738.879,107.003,415.620,280.251,638.451,57.406,450.917,279.463,577.280,65.446,338.866,153.282
213.590,340.189,737.818,104.188,413.665,279.333,637.120,58.778,450.174,279.401,583.088,69.814,338.624,153.776
212.166,339.868,736.856,99.532,416.141,280.658,634.879,58.549,450.664,279.681,589.991,75.055,340.184,154.541
212.565,340.069,736.342,96.657,415.331,280.365,633.015,59.111,449.814,279.479,595.578,78.709,340.157,154.929
213.572,340.416,735.476,94.374,414.063,279.744,627.672,55.385,449.896,279.654,597.759,80.258,339.781,155.173
211.442,339.808,735.016,89.648,415.868,280.704,622.330,51.659,450.374,279.959,599.940,81.807,340.943,155.722
211.941,340.060,734.884,87.920,415.067,280.560,616.987,47.933,450.311,279.987,602.122,83.356,340.819,156.274
214.297,340.819,735.727,85.156,415.089,280.630,611.644,44.207,450.393,280.082,604.303,84.905,342.423,157.611
211.627,340.036,743.055,82.520,415.111,280.700,605.508,43.981,450.474,280.176,606.910,86.751,345.909,158.889
212.276,340.255,749.726,84.036,415.133,280.770,600.099,44.374,450.556,280.271,608.636,88.630,348.254,159.397
213.035,340.502,755.525,85.580,415.155,280.840,597.207,46.493,450.638,280.365,610.018,90.411,348.615,159.372
211.147,339.826,763.857,87.818,415.177,280.910,593.098,45.642,450.720,280.460,614.308,93.920,352.707,160.337
212.543,340.360,769.187,89.283,415.199,280.981,589.602,45.754,450.801,280.554,617.911,98.767,354.009,160.558
213.141,340.813,772.039,89.896,415.221,281.051,586.298,47.192,450.883,280.648,624.523,106.648,354.711,161.125
210.575,339.699,779.554,90.846,415.244,281.121,581.690,44.258,450.965,280.743,635.154,115.059,357.547,161.580
211.821,340.210,781.910,91.068,415.266,281.191,575.493,43.475,451.046,280.837,644.475,121.042,359.564,162.438
213.444,340.859,785.167,91.290,415.288,281.261,571.415,45.416,451.128,280.932,651.889,125.373,360.064,162.650
210.453,339.736,790.442,90.977,415.310,281.331,565.189,42.046,451.210,281.026,661.099,129.369,361.738,163.269
211.280,340.052,792.626,91.035,415.332,281.401,556.081,39.225,451.292,281.121,668.133,132.455,362.770,163.584
212.675,340.683,793.818,90.573,415.354,281.471,545.714,45.187,451.373,281.215,673.633,134.662,364.396,164.227
210.260,339.867,800.961,90.128,415.376,281.541,538.260,46.316,451.455,281.310,680.513,136.811,366.281,164.268
